,zipcode,local
116,1390,Biez
117,1390,Nethen
118,1390,Archennes
119,1400,Monstreux
120,1400,NIVELLES
121,1401,Baulers
122,1402,Thines
123,1404,Bornival
124,1410,WATERLOO
125,1420,BRAINE-L'ALLEUD
126,1421,Ophain-Bois-Seigneur-Isaac
127,1428,Lillois-Witterzée
128,1430,REBECQ
129,1430,Rebecq-Rognon
130,1430,Bierghes
131,1430,Quenast
132,1435,Corbais
133,1435,Hévillers
134,1435,MONT-SAINT-GUIBERT
135,1440,Wauthier-Braine
136,1440,BRAINE-LE-CHÂTEAU
137,1450,Cortil-Noirmont
138,1450,CHASTRE
139,1450,Chastre-Villeroux-Blanmont
140,1450,Saint-Géry
141,1450,Gentinnes
142,1457,Tourinnes-Saint-Lambert
143,1457,Walhain-Saint-Paul
144,1457,WALHAIN
145,1457,Nil-Saint-Vincent-Saint-Martin
146,1460,Virginal-Samme
147,1460,ITTRE
148,1461,Haut-Ittre
149,1470,Bousval
150,1470,GENAPPE
151,1470,Baisy-Thy
152,1471,Loupoigne
153,1472,Vieux-Genappe
154,1473,Glabais
155,1474,Ways
156,1476,Houtain-Le-Val
157,1480,Clabecq
158,1480,Oisquercq
159,1480,Saintes
160,1480,TUBIZE
161,1490,COURT-SAINT-ETIENNE
162,1495,Tilly
163,1495,Mellery
164,1495,Marbais
165,1495,Sart-Dames-Avelines
166,1495,VILLERS-LA-VILLE
167,1500,HALLE
168,1501,Buizingen
169,1502,Lembeek
170,1540,HERNE
171,1540,Herfelingen
172,1541,Sint-Pieters-Kapelle
173,1547,BIÉVÈNE
174,1560,HOEILAART
175,1570,Tollembeek
176,1570,GALMAARDEN
177,1570,Vollezele
178,1600,Oudenaken
179,1600,SINT-PIETERS-LEEUW
180,1600,Sint-Laureins-Berchem
181,1601,Ruisbroek
182,1602,Vlezenbeek
183,1620,DROGENBOS
184,1630,LINKEBEEK
185,1640,RHODE-SAINT-GENÈSE
186,1650,BEERSEL
187,1651,Lot
188,1652,Alsemberg
189,1653,Dworp
190,1654,Huizingen
191,1670,PEPINGEN
192,1670,Bogaarden
193,1670,Heikruis
194,1671,Elingen
195,1673,Beert
196,1674,Bellingen
197,1700,Sint-Ulriks-Kapelle
198,1700,Sint-Martens-Bodegem
199,1700,DILBEEK
200,1701,Itterbeek
201,1702,Groot-Bijgaarden
202,1703,Schepdaal
203,1730,Bekkerzeel
204,1730,Mollem
205,1730,Kobbegem
206,1730,ASSE
207,1731,Zellik
208,1731,Relegem
209,1733,HighCo DATA
210,1740,TERNAT
211,1741,Wambeek
212,1742,Sint-Katherina-Lombeek
213,1745,Mazenzele
214,1745,OPWIJK
215,1750,Sint-Martens-Lennik
216,1750,LENNIK
217,1750,Sint-Kwintens-Lennik
218,1750,Gaasbeek
219,1755,Leerbeek
220,1755,GOOIK
221,1755,Kester
222,1755,Oetingen
223,1760,Strijtem
224,1760,ROOSDAAL
225,1760,Onze-Lieve-Vrouw-Lombeek
226,1760,Pamel
227,1761,Borchtlombeek
228,1770,LIEDEKERKE
229,1780,WEMMEL
230,1785,Brussegem
231,1785,MERCHTEM
232,1785,Hamme
233,1790,AFFLIGEM
234,1790,Hekelgem
235,1790,Teralfene
236,1790,Essene
237,1800,VILVOORDE
238,1800,Peutie
239,1804,Cargovil
240,1818,VTM
241,1820,Perk
242,1820,Melsbroek
243,1820,STEENOKKERZEEL
244,1830,MACHELEN
245,1831,Diegem
246,1840,LONDERZEEL
247,1840,Steenhuffel
248,1840,Malderen
249,1850,GRIMBERGEN
250,1851,Humbeek
251,1852,Beigem
252,1853,Strombeek-Bever
253,1860,MEISE
254,1861,Wolvertem
255,1880,Nieuwenrode
256,1880,KAPELLE-OP-DEN-BOS
257,1880,Ramsdonk
258,1910,Berg
259,1910,KAMPENHOUT
260,1910,Nederokkerzeel
261,1910,Buken
262,1930,ZAVENTEM
263,1930,Nossegem
264,1931,Brucargo
265,1932,Sint-Stevens-Woluwe
266,1933,Sterrebeek
267,1934,Office Exchange Brussels Airport Remailing
268,1935,Corporate Village
269,1950,KRAAINEM
270,1970,WEZEMBEEK-OPPEM
271,1980,Eppegem
272,1980,ZEMST
273,1981,Hofstade
274,1982,Weerde
275,1982,Elewijt
276,2000,ANTWERPEN
277,2018,ANTWERPEN
278,2020,ANTWERPEN
279,2030,ANTWERPEN
280,2040,Lillo
281,2040,Zandvliet
282,2040,Berendrecht
283,2040,ANTWERPEN
284,2050,ANTWERPEN
285,2060,ANTWERPEN
286,2070,ZWIJNDRECHT
287,2070,Burcht
288,2099,Antwerpen x
289,2100,Deurne
290,2110,WIJNEGEM
291,2140,Borgerhout
292,2150,BORSBEEK
293,2160,WOMMELGEM
294,2170,Merksem
295,2180,Ekeren
296,2200,Morkhoven
297,2200,Noorderwijk
298,2200,HERENTALS
299,2220,HEIST-OP-DEN-BERG
300,2220,Hallaar
301,2221,Booischot
302,2222,Itegem
303,2222,Wiekevorst
304,2223,Schriek
305,2230,Ramsel
306,2230,HERSELT
307,2235,Westmeerbeek
308,2235,Houtvenne
309,2235,HULSHOUT
310,2240,Viersel
311,2240,Massenhoven
