,Url,Source,Zip,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
10,https://www.immoweb.be/fr/annonce/appartement/a-vendre/schaerbeek/1030/9316984?searchId=6092b3b733efa,Immoweb,1000,Bruxelles,APARTMENT,APARTMENT,110000,PUBLIC_SALE,2,,INSTALLED,,False,True,,,,,,,,
11,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1000/9286204?searchId=6092b35ce3d29,Immoweb,1210,Bruxelles,APARTMENT,APARTMENT,165000,BUY_REGULAR,1,51.0,HYPER_EQUIPPED,False,False,,,,,,,,False,GOOD
12,https://www.immoweb.be/fr/annonce/maison/a-vendre/schaerbeek/1030/9308315?searchId=6092b3d686a96,Immoweb,1180,Uccle,HOUSE,HOUSE,790000,BUY_REGULAR,3,220.0,USA_INSTALLED,,False,True,,True,25.0,80.0,80.0,2.0,,GOOD
13,https://www.immoweb.be/fr/annonce/studio/a-vendre/bruxelles/1000/9185192?searchId=6092b35ce3d29,Immoweb,1081,Koekelberg,APARTMENT,FLAT_STUDIO,170000,BUY_REGULAR,0,50.0,,,True,True,,,,,,,,TO_BE_DONE_UP
14,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1000/9185194?searchId=6092b35fed66b,Immoweb,1081,Koekelberg,APARTMENT,APARTMENT,195000,BUY_REGULAR,1,60.0,,,False,,,,,,,,,TO_BE_DONE_UP
15,https://www.immoweb.be/fr/annonce/appartement/a-vendre/schaerbeek/1030/9307262?searchId=6092b3cd6b436,Immoweb,1050,Bruxelles,APARTMENT,APARTMENT,385000,BUY_REGULAR,3,100.0,USA_HYPER_EQUIPPED,False,False,True,4.0,,,,,,False,JUST_RENOVATED
16,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles-ville/1000/9265576?searchId=6092b35ce3d29,Immoweb,1050,Ixelles,APARTMENT,APARTMENT,170000,BUY_REGULAR,0,40.0,INSTALLED,,False,,,,,,,,,TO_RENOVATE
17,https://www.immoweb.be/fr/annonce/penthouse/a-vendre/schaerbeek/1030/9303130?searchId=6092b3c68779b,Immoweb,1000,Bruxelles ville,APARTMENT,PENTHOUSE,305000,BUY_REGULAR,2,100.0,INSTALLED,False,False,,,,,,,3.0,False,GOOD
18,https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/bruxelles/1000/8994945?searchId=6092b38202013,Immoweb,1000,Bruxelles,HOUSE,MIXED_USE_BUILDING,549000,BUY_REGULAR,3,230.0,USA_SEMI_EQUIPPED,False,False,,,,,126.0,126.0,2.0,,TO_RENOVATE
19,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1000/8139407?searchId=6092b36e54bfa,Immoweb,1410,Waterloo,APARTMENT,APARTMENT,315000,BUY_REGULAR,2,95.0,HYPER_EQUIPPED,False,False,True,7.0,,,,,,False,AS_NEW
20,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1020/9207640?searchId=6092b3b052cbd,Immoweb,1070,Anderlecht,APARTMENT,APARTMENT,259000,BUY_REGULAR,3,100.0,USA_HYPER_EQUIPPED,False,False,True,,,,,,2.0,False,JUST_RENOVATED
21,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1000/9144620?searchId=6092b37fe4f1c,Immoweb,1000,Bruxelles,APARTMENT,APARTMENT,485000,BUY_REGULAR,2,120.0,USA_HYPER_EQUIPPED,False,False,True,3.0,,,,,,False,AS_NEW
22,https://www.immoweb.be/fr/annonce/maison/a-vendre/bruxelles/1000/9286092?searchId=6092b3780de82,Immoweb,1190,Forest,HOUSE,HOUSE,399000,BUY_REGULAR,3,180.0,USA_HYPER_EQUIPPED,False,False,True,36.0,True,36.0,75.0,75.0,2.0,False,TO_RENOVATE
23,https://www.immoweb.be/fr/annonce/maison/a-vendre/laeken/1020/9300990?searchId=6092b3b2e7d9b,Immoweb,1081,Koekelberg,HOUSE,HOUSE,369000,BUY_REGULAR,3,120.0,,,False,True,25.0,True,22.0,100.0,100.0,2.0,,GOOD
24,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles-ville/1000/9251276?searchId=6092b3780de82,Immoweb,1050,Ixelles,APARTMENT,APARTMENT,385000,BUY_REGULAR,2,98.0,USA_HYPER_EQUIPPED,,False,,,,,,,,,AS_NEW
25,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1000/9241434?searchId=6092b37ce4aff,Immoweb,1000,Bruxelles,APARTMENT,APARTMENT,439000,BUY_REGULAR,2,100.0,HYPER_EQUIPPED,,False,True,7.0,,,,,,,AS_NEW
26,https://www.immoweb.be/fr/annonce/maison/a-vendre/bruxelles-ville/1000/9308368?searchId=6092b38202013,Immoweb,1040,Etterbeek,HOUSE,HOUSE,525000,BUY_REGULAR,5,200.0,SEMI_EQUIPPED,,False,True,18.0,,,66.0,66.0,2.0,,TO_BE_DONE_UP
27,https://www.immoweb.be/fr/annonce/appartement/a-vendre/laeken/1020/9207622?searchId=6092b3ac39762,Immoweb,1090,Jette,APARTMENT,APARTMENT,195000,PUBLIC_SALE,2,,,,False,,,,,,,,,
28,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles-ville/1000/9291924?searchId=6092b375888aa,Immoweb,1050,Ixelles,APARTMENT,APARTMENT,370000,BUY_REGULAR,3,111.0,INSTALLED,False,False,,,,,,,1.0,,
29,https://www.immoweb.be/fr/annonce/maison-bel-etage/a-vendre/laeken/1020/9121695?searchId=6092b3b2e7d9b,Immoweb,1020,Bruxelles,HOUSE,TOWN_HOUSE,340000,BUY_REGULAR,4,185.0,NOT_INSTALLED,False,False,True,51.0,True,200.0,299.0,299.0,2.0,False,TO_RENOVATE
30,https://www.immoweb.be/fr/annonce/duplex/a-vendre/bruxelles/1000/8782522?searchId=6092b38bc9d50,Immoweb,1050,Ixelles,APARTMENT,DUPLEX,815000,BUY_REGULAR,3,210.0,HYPER_EQUIPPED,False,False,,,,,,,2.0,,TO_BE_DONE_UP
31,https://www.immoweb.be/fr/annonce/maison/a-vendre/schaerbeek/1030/8990880?searchId=6092b3d41af12,Immoweb,1030,Schaerbeek,HOUSE,HOUSE,599000,BUY_REGULAR,4,431.0,INSTALLED,False,False,True,61.0,,,0.0,0.0,,False,GOOD
32,https://www.immoweb.be/fr/annonce/appartement/a-vendre/schaerbeek/1030/9243672?searchId=6092b3b8305ff,Immoweb,1030,Schaerbeek,APARTMENT,APARTMENT,160000,BUY_REGULAR,1,54.0,USA_HYPER_EQUIPPED,,False,,,,,,,2.0,False,JUST_RENOVATED
33,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles2/1020/8489994?searchId=6092b3ac39762,Immoweb,1020,Laeken,APARTMENT,APARTMENT,189000,BUY_REGULAR,2,107.0,INSTALLED,False,True,,,,,,,2.0,,
34,https://www.immoweb.be/fr/annonce/appartement/a-vendre/schaerbeek/1030/8987846?searchId=6092b3cdae1b0,Immoweb,1050,Bruxelles,APARTMENT,APARTMENT,429000,BUY_REGULAR,2,147.0,USA_HYPER_EQUIPPED,False,False,True,,,,,,2.0,False,AS_NEW
35,https://www.immoweb.be/fr/annonce/rez-de-chaussee/a-vendre/bruxelles2/1020/9305274?searchId=6092b3ac39762,Immoweb,1020,Laeken,APARTMENT,GROUND_FLOOR,149000,BUY_REGULAR,0,70.0,INSTALLED,False,False,True,7.0,,,,,2.0,,
36,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles-1/1000/9145054?searchId=6092b3892b65c,Immoweb,1170,Watermael-Boitsfort,APARTMENT,APARTMENT,695000,BUY_REGULAR,3,190.0,HYPER_EQUIPPED,,False,True,20.0,,,,,2.0,,AS_NEW
37,https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/schaerbeek/1030/9223716?searchId=6092b3d686a96,Immoweb,1000,Bruxelles ville,HOUSE,MIXED_USE_BUILDING,830000,BUY_REGULAR,0,,,,False,,,,,95.0,95.0,2.0,False,
38,https://www.immoweb.be/fr/annonce/appartement/a-vendre/brussels/1000/8819176?searchId=6092b36e54bfa,Immoweb,1080,Molenbeek,APARTMENT,APARTMENT,310000,BUY_REGULAR,2,110.0,USA_HYPER_EQUIPPED,False,False,,,,,,,2.0,False,AS_NEW
39,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1000/8941593?searchId=6092b3780de82,Immoweb,1040,Etterbeek,APARTMENT,APARTMENT,385000,BUY_REGULAR,3,101.0,HYPER_EQUIPPED,False,False,,,,,,,2.0,False,AS_NEW
